NA,,,,,
NA,,,,,
NA,,,,,
NA,,,,,
NA,,,,,
NA,,,,,
7,,,,,
NA,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,1
,,,,,2
,,NA,,,3
,,,,,4
,,,,,5
,,,,,6
,,,,,7
,,,,,8
