Id,LNX,LNY,LNZ,Ch0,Ch1,Ch2,Ch3,Ch0_mA,Ch1_mA,Ch2_mA,Ch3_mA,
2_0,11.011,16.0583,10.1541,515.011,261.167,256.285,256.285,0.004934809,0.002610049,0.002561263,0.002561263,
2_1,11.011,16.0583,10.1541,515.011,261.167,251.404,256.285,0.00493886143478261,0.002610049,0.002512477,0.002561263,
2_2,11.011,16.0583,10.1541,515.011,261.167,256.285,256.285,0.00494291386956522,0.002610049,0.002561263,0.002561263,
2_3,11.011,16.0583,10.1541,515.011,261.167,256.285,256.285,0.00494899247826087,0.002610049,0.002561263,0.002561263,
2_4,11.011,16.0583,10.1541,515.011,261.167,256.285,256.285,0.00495507108695652,0.002610049,0.002561263,0.002561263,
2_5,11.011,16.0583,10.1541,515.011,261.167,256.285,256.285,0.00496317591304348,0.002610049,0.002561263,0.002561263,
2_6,11.011,16.0583,10.1541,515.011,261.167,256.285,256.285,0.00497128073913044,0.002610049,0.002561263,0.002561263,
2_7,11.011,16.0583,10.1541,515.011,261.167,256.285,256.285,0.00498141173913044,0.002610049,0.002561263,0.002561263,
2_8,11.011,16.0583,10.1542,515.011,261.167,256.285,256.285,0.00499154273913044,0.002610049,0.002561263,0.002561263,
2_9,11.011,16.0583,10.1542,515.011,261.167,256.285,256.285,0.00500167373913044,0.002610049,0.002561263,0.002561263,
2_10,11.011,16.0583,10.1543,515.011,261.167,256.285,256.285,0.00501585713043478,0.002610049,0.002561263,0.002561263,
2_11,11.011,16.0583,10.1543,515.011,261.167,256.285,256.285,0.00502801434782609,0.002610049,0.002561263,0.002561263,
2_12,11.011,16.0583,10.1544,515.011,261.167,256.285,256.285,0.00504017156521739,0.002610049,0.002561263,0.002561263,
2_13,11.011,16.0583,10.1544,515.011,261.167,256.285,256.285,0.005054355,0.002610049,0.002561263,0.002561263,
2_14,11.011,16.0583,10.1545,510.129,261.167,256.285,256.285,0.00506853843478261,0.002610049,0.002561263,0.002561263,
2_15,11.011,16.0583,10.1545,515.011,261.167,256.285,256.285,0.00508474804347826,0.002610049,0.002561263,0.002561263,
2_16,11.011,16.0583,10.1546,515.011,261.167,256.285,256.285,0.00539129507608696,0.002610049,0.002561263,0.002561263,
2_17,11.011,16.0583,10.1546,515.011,261.167,256.285,256.285,0.00540044543812709,0.002610049,0.002561263,0.002561263,
2_18,11.011,16.0583,10.1547,515.011,261.167,256.285,256.285,0.00541111082763975,0.002610049,0.002561263,0.002561263,
2_19,11.011,16.0583,10.1547,515.011,261.167,256.285,256.285,0.0054214348057971,0.002610049,0.002561263,0.002561263,
2_20,11.011,16.0583,10.1548,515.011,261.167,256.285,256.285,0.00543249447418478,0.002610049,0.002561263,0.002561263,
2_21,11.011,16.0583,10.1548,519.893,261.167,256.285,256.285,0.00544231258951407,0.002610049,0.002561263,0.002561263,
2_22,11.011,16.0583,10.1549,519.893,256.285,256.285,256.285,0.00545295344323671,0.002561263,0.002561263,0.002561263,
2_23,11.011,16.0583,10.1549,519.893,261.167,256.285,256.285,0.00546242087643021,0.002610049,0.002561263,0.002561263,
2_24,11.011,16.0583,10.155,519.893,261.167,256.285,256.285,0.00547276515326087,0.002610049,0.002561263,0.002561263,
2_25,11.011,16.0583,10.155,524.774,261.167,256.285,256.285,0.00548400574016563,0.002610049,0.002561263,0.002561263,
2_26,11.011,16.0583,10.1551,524.774,261.167,256.285,256.285,0.00549413236857708,0.002610049,0.002561263,0.002561263,
2_27,11.011,16.0583,10.1552,524.774,261.167,256.285,256.285,0.0055041712826087,0.002610049,0.002561263,0.002561263,
2_28,11.011,16.0583,10.1552,524.774,261.167,256.285,256.285,0.0055143022826087,0.002610049,0.002561263,0.002561263,
2_29,11.011,16.0583,10.1553,524.774,261.167,256.285,256.285,0.00552544636956522,0.002610049,0.002561263,0.002561263,
2_30,11.011,16.0583,10.1553,529.656,261.167,256.285,256.285,0.0055345642826087,0.002610049,0.002561263,0.002561263,
2_31,11.011,16.0583,10.1554,529.656,261.167,256.285,256.285,0.00554570839130435,0.002610049,0.002561263,0.002561263,
2_32,11.011,16.0583,10.1554,534.538,261.167,256.285,256.285,0.0055568525,0.002610049,0.002561263,0.002561263,
2_33,11.011,16.0583,10.1555,534.538,261.167,256.285,256.285,0.00556597039130435,0.002610049,0.002561263,0.002561263,
2_34,11.011,16.0583,10.1555,539.419,261.167,256.285,256.285,0.00557610139130435,0.002610049,0.002561263,0.002561263,
2_35,11.011,16.0583,10.1556,539.419,261.167,256.285,256.285,0.00558623241304348,0.002610049,0.002561263,0.002561263,
2_36,11.011,16.0583,10.1556,539.419,256.285,256.285,256.285,0.00559433721739131,0.002561263,0.002561263,0.002561263,
2_37,11.011,16.0583,10.1557,544.301,261.167,256.285,256.285,0.00560345513043478,0.002610049,0.002561263,0.002561263,
2_38,11.011,16.0583,10.1557,544.301,261.167,256.285,261.167,0.00561257304347826,0.002610049,0.002561263,0.002610049,
2_39,11.011,16.0583,10.1558,544.301,261.167,256.285,256.285,0.00562169095652174,0.002610049,0.002561263,0.002561263,
2_40,11.011,16.0583,10.1558,549.182,261.167,256.285,256.285,0.00562979576086957,0.002610049,0.002561263,0.002561263,
2_41,11.011,16.0583,10.1559,549.182,261.167,256.285,256.285,0.00563688745652174,0.002610049,0.002561263,0.002561263,
2_42,11.011,16.0583,10.1559,554.064,261.167,256.285,256.285,0.00564397915217391,0.002610049,0.002561263,0.002561263,
2_43,11.011,16.0583,10.156,554.064,261.167,256.285,256.285,0.00565107086956522,0.002610049,0.002561263,0.002561263,
2_44,11.011,16.0583,10.156,558.946,261.167,256.285,256.285,0.00565917567391304,0.002610049,0.002561263,0.002561263,
2_45,11.011,16.0583,10.1561,558.946,261.167,256.285,256.285,0.0056652542826087,0.002610049,0.002561263,0.002561263,
2_46,11.011,16.0583,10.1561,558.946,266.048,256.285,256.285,0.00567335908695652,0.002658835,0.002561263,0.002561263,
2_47,11.011,16.0583,10.1562,563.827,261.167,256.285,256.285,0.0056804507826087,0.002610049,0.002561263,0.002561263,
2_48,11.011,16.0583,10.1563,563.827,261.167,256.285,256.285,0.00568754247826087,0.002610049,0.002561263,0.002561263,
2_49,11.011,16.0583,10.1563,568.709,261.167,256.285,256.285,0.00569463417391304,0.002610049,0.002561263,0.002561263,
2_50,11.011,16.0583,10.1564,563.827,261.167,256.285,256.285,0.00570273895652174,0.002610049,0.002561263,0.002561263,
2_51,11.011,16.0583,10.1564,568.709,261.167,256.285,256.285,0.00571084373913044,0.002610049,0.002561263,0.002561263,
2_52,11.011,16.0583,10.1565,573.591,261.167,256.285,256.285,0.00571894852173913,0.002610049,0.002561263,0.002561263,
2_53,11.011,16.0583,10.1565,573.591,261.167,256.285,256.285,0.00572705330434783,0.002610049,0.002561263,0.002561263,
2_54,11.011,16.0583,10.1566,573.591,261.167,256.285,256.285,0.00573313189130435,0.002610049,0.002561263,0.002561263,
2_55,11.011,16.0583,10.1566,573.591,261.167,256.285,256.285,0.00574022358695652,0.002610049,0.002561263,0.002561263,
2_56,11.011,16.0583,10.1567,578.472,261.167,256.285,256.285,0.00574934147826087,0.002610049,0.002561263,0.002561263,
2_57,11.011,16.0583,10.1567,573.591,261.167,256.285,256.285,0.00575845936956522,0.002610049,0.002561263,0.002561263,
2_58,11.011,16.0583,10.1568,578.472,261.167,256.285,256.285,0.00576656415217391,0.002610049,0.002561263,0.002561263,
2_59,11.011,16.0583,10.1568,578.472,261.167,256.285,256.285,0.00577568204347826,0.002610049,0.002561263,0.002561263,
2_60,11.011,16.0583,10.1569,578.472,261.167,256.285,256.285,0.00578581302173913,0.002610049,0.002561263,0.002561263,
2_61,11.011,16.0583,10.1569,583.354,261.167,256.285,256.285,0.00579493091304348,0.002610049,0.002561263,0.002561263,
2_62,11.011,16.0583,10.157,583.354,261.167,256.285,256.285,0.00580404880434783,0.002610049,0.002561263,0.002561263,
2_63,11.011,16.0583,10.157,583.354,261.167,256.285,256.285,0.00581316669565217,0.002610049,0.002561263,0.002561263,
2_64,11.011,16.0583,10.1571,583.354,261.167,256.285,256.285,0.0058243107826087,0.002610049,0.002561263,0.002561263,
2_65,11.011,16.0583,10.1571,588.235,261.167,256.285,256.285,0.00583545486956522,0.002610049,0.002561263,0.002561263,
2_66,11.011,16.0583,10.1572,588.235,261.167,256.285,256.285,0.00584659895652174,0.002610049,0.002561263,0.002561263,
2_67,11.011,16.0583,10.1572,588.235,261.167,256.285,256.285,0.00585571684782609,0.002610049,0.002561263,0.002561263,
2_68,11.011,16.0583,10.1573,588.235,266.048,256.285,256.285,0.00586686093478261,0.002658835,0.002561263,0.002561263,
