Id,LNX,LNY,LNZ,Ch0,Ch1,Ch2,Ch3,Ch0_mA,Ch1_mA,Ch2_mA,Ch3_mA,
2_0,10.9935,15.9901,10.1734,2496.949,266.048,256.285,256.285,0.0242222035652174,0.002658835,0.002561263,0.002561263,
2_1,10.9935,15.9901,10.1734,2496.949,261.167,256.285,256.285,0.0242384131304348,0.002610049,0.002561263,0.002561263,
2_2,10.9935,15.9901,10.1734,2501.831,261.167,256.285,256.285,0.0242566489565217,0.002610049,0.002561263,0.002561263,
2_3,10.9935,15.9901,10.1734,2506.713,261.167,256.285,256.285,0.0242748847826087,0.002610049,0.002561263,0.002561263,
2_4,10.9935,15.9901,10.1734,2506.713,266.048,256.285,256.285,0.0242951467826087,0.002658835,0.002561263,0.002561263,
2_5,10.9935,15.9901,10.1734,2506.713,261.167,256.285,256.285,0.0243154087826087,0.002610049,0.002561263,0.002561263,
2_6,10.9935,15.9901,10.1734,2511.594,261.167,256.285,256.285,0.024337697,0.002610049,0.002561263,0.002561263,
2_7,10.9935,15.9901,10.1734,2511.594,261.167,256.285,256.285,0.0243599852173913,0.002610049,0.002561263,0.002561263,
2_8,10.9936,15.9901,10.1734,2511.594,261.167,256.285,256.285,0.0243842996086957,0.002610049,0.002561263,0.002561263,
2_9,10.9936,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.0244065877826087,0.002610049,0.002561263,0.002561263,
2_10,10.9937,15.9901,10.1734,2511.594,261.167,256.285,256.285,0.024430902173913,0.002610049,0.002561263,0.002561263,
2_11,10.9937,15.9901,10.1734,2511.594,266.048,256.285,256.285,0.0244572427826087,0.002658835,0.002561263,0.002561263,
2_12,10.9938,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.0244835833913043,0.002610049,0.002561263,0.002561263,
2_13,10.9938,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.024509924,0.002610049,0.002561263,0.002561263,
2_14,10.9939,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.0245362646086957,0.002610049,0.002561263,0.002561263,
2_15,10.9939,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.0245646313913043,0.002610049,0.002561263,0.002561263,
2_16,10.994,15.9901,10.1734,2521.357,261.167,256.285,256.285,0.024592998173913,0.002610049,0.002561263,0.002561263,
2_17,10.994,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.0246213649565217,0.002610049,0.002561263,0.002561263,
2_18,10.9941,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.0246497317391304,0.002610049,0.002561263,0.002561263,
2_19,10.9941,15.9901,10.1734,2516.476,261.167,256.285,256.285,0.0246780985217391,0.002610049,0.002561263,0.002561263,
2_20,10.9942,15.9901,10.1734,2516.476,261.167,251.404,256.285,0.0247064653043478,0.002610049,0.002512477,0.002561263,
2_21,10.9942,15.9901,10.1734,2521.357,261.167,256.285,256.285,0.0247348320869565,0.002610049,0.002561263,0.002561263,
2_22,10.9943,15.9901,10.1734,2516.476,261.167,256.285,251.404,0.0247631989130435,0.002610049,0.002561263,0.002512477,
2_23,10.9943,15.9901,10.1734,2521.357,261.167,256.285,256.285,0.0247915657391304,0.002610049,0.002561263,0.002561263,
2_24,10.9944,15.9901,10.1734,2521.357,261.167,256.285,256.285,0.0248219587391304,0.002610049,0.002561263,0.002561263,
2_25,10.9944,15.9901,10.1734,2521.357,261.167,256.285,256.285,0.0248503255217391,0.002610049,0.002561263,0.002561263,
2_26,10.9945,15.9901,10.1734,2521.357,261.167,256.285,256.285,0.0248807184782609,0.002610049,0.002561263,0.002561263,
2_27,10.9946,15.9901,10.1734,2521.357,261.167,256.285,256.285,0.0249111114347826,0.002610049,0.002561263,0.002561263,
