[2025-12-11 11:58:18:414] P9078_AxisSetRealParameter[0-5] PN: 1206, PV: 2000.000000, rc: 0
[2025-12-11 11:58:18:415] P9078_AxisSetRealParameter[0-5] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:417] P9078_AxisSetRealParameter[0-5] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:417] P9078_AxisSetBacklash[0-5], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:418] P9078_AxisSetMaxVelocity[0-5], vel: 10.000000, rc: 0
[2025-12-11 11:58:18:419] P9078_AxisSetMaxAcceleration[0-5], acc: 100.000000, rc: 0
[2025-12-11 11:58:18:420] P9078_AxisSetParameter[0-5] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:421] P9078_AxisSetMinPositionLimit[0-5], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:422] P9078_AxisSetMaxPositionLimit[0-5], limit: 8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:444] P9078_AxisSetParameter[1-0] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:445] P9078_AxisSetRealParameter[1-0] PN: 1206, PV: 500.000000, rc: 0
[2025-12-11 11:58:18:446] P9078_AxisSetRealParameter[1-0] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:447] P9078_AxisSetRealParameter[1-0] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:448] P9078_AxisSetBacklash[1-0], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:449] P9078_AxisSetMaxVelocity[1-0], vel: 20.000000, rc: 0
[2025-12-11 11:58:18:450] P9078_AxisSetMaxAcceleration[1-0], acc: 100.000000, rc: 0
[2025-12-11 11:58:18:451] P9078_AxisSetParameter[1-0] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:452] P9078_AxisSetMinPositionLimit[1-0], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:453] P9078_AxisSetMaxPositionLimit[1-0], limit: 8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:477] P9078_AxisSetParameter[1-1] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:478] P9078_AxisSetRealParameter[1-1] PN: 1206, PV: 500.000000, rc: 0
[2025-12-11 11:58:18:479] P9078_AxisSetRealParameter[1-1] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:480] P9078_AxisSetRealParameter[1-1] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:481] P9078_AxisSetBacklash[1-1], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:482] P9078_AxisSetMaxVelocity[1-1], vel: 20.000000, rc: 0
[2025-12-11 11:58:18:483] P9078_AxisSetMaxAcceleration[1-1], acc: 100.000000, rc: 0
[2025-12-11 11:58:18:484] P9078_AxisSetParameter[1-1] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:485] P9078_AxisSetMinPositionLimit[1-1], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:486] P9078_AxisSetMaxPositionLimit[1-1], limit: 8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:508] P9078_AxisSetParameter[1-2] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:509] P9078_AxisSetRealParameter[1-2] PN: 1206, PV: 200.000000, rc: 0
[2025-12-11 11:58:18:510] P9078_AxisSetRealParameter[1-2] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:511] P9078_AxisSetRealParameter[1-2] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:512] P9078_AxisSetBacklash[1-2], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:513] P9078_AxisSetMaxVelocity[1-2], vel: 50.000000, rc: 0
[2025-12-11 11:58:18:514] P9078_AxisSetMaxAcceleration[1-2], acc: 200.000000, rc: 0
[2025-12-11 11:58:18:516] P9078_AxisSetParameter[1-2] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:517] P9078_AxisSetMinPositionLimit[1-2], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:518] P9078_AxisSetMaxPositionLimit[1-2], limit: 8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:539] P9078_AxisSetParameter[1-3] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:540] P9078_AxisSetRealParameter[1-3] PN: 1206, PV: 10000.000000, rc: 0
[2025-12-11 11:58:18:541] P9078_AxisSetRealParameter[1-3] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:542] P9078_AxisSetRealParameter[1-3] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:543] P9078_AxisSetBacklash[1-3], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:544] P9078_AxisSetMaxVelocity[1-3], vel: 50.000000, rc: 0
[2025-12-11 11:58:18:545] P9078_AxisSetMaxAcceleration[1-3], acc: 80.000000, rc: 0
[2025-12-11 11:58:18:546] P9078_AxisSetParameter[1-3] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:547] P9078_AxisSetMinPositionLimit[1-3], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:548] P9078_AxisSetMaxPositionLimit[1-3], limit: 8000000000000000.000000, rc: 0
