[2025-11-26 14:18:26:414] P9078_AxisSetRealParameter[0-5] PN: 1206, PV: 2000.000000, rc: 0
[2025-11-26 14:18:26:415] P9078_AxisSetRealParameter[0-5] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:417] P9078_AxisSetRealParameter[0-5] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:418] P9078_AxisSetBacklash[0-5], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:419] P9078_AxisSetMaxVelocity[0-5], vel: 10.000000, rc: 0
[2025-11-26 14:18:26:420] P9078_AxisSetMaxAcceleration[0-5], acc: 100.000000, rc: 0
[2025-11-26 14:18:26:421] P9078_AxisSetParameter[0-5] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:422] P9078_AxisSetMinPositionLimit[0-5], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:423] P9078_AxisSetMaxPositionLimit[0-5], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:445] P9078_AxisSetParameter[1-0] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:446] P9078_AxisSetRealParameter[1-0] PN: 1206, PV: 500.000000, rc: 0
[2025-11-26 14:18:26:447] P9078_AxisSetRealParameter[1-0] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:448] P9078_AxisSetRealParameter[1-0] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:449] P9078_AxisSetBacklash[1-0], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:451] P9078_AxisSetMaxVelocity[1-0], vel: 20.000000, rc: 0
[2025-11-26 14:18:26:452] P9078_AxisSetMaxAcceleration[1-0], acc: 100.000000, rc: 0
[2025-11-26 14:18:26:453] P9078_AxisSetParameter[1-0] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:454] P9078_AxisSetMinPositionLimit[1-0], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:455] P9078_AxisSetMaxPositionLimit[1-0], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:476] P9078_AxisSetParameter[1-1] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:477] P9078_AxisSetRealParameter[1-1] PN: 1206, PV: 500.000000, rc: 0
[2025-11-26 14:18:26:478] P9078_AxisSetRealParameter[1-1] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:479] P9078_AxisSetRealParameter[1-1] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:480] P9078_AxisSetBacklash[1-1], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:481] P9078_AxisSetMaxVelocity[1-1], vel: 20.000000, rc: 0
[2025-11-26 14:18:26:482] P9078_AxisSetMaxAcceleration[1-1], acc: 100.000000, rc: 0
[2025-11-26 14:18:26:483] P9078_AxisSetParameter[1-1] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:484] P9078_AxisSetMinPositionLimit[1-1], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:485] P9078_AxisSetMaxPositionLimit[1-1], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:508] P9078_AxisSetParameter[1-2] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:509] P9078_AxisSetRealParameter[1-2] PN: 1206, PV: 200.000000, rc: 0
[2025-11-26 14:18:26:510] P9078_AxisSetRealParameter[1-2] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:512] P9078_AxisSetRealParameter[1-2] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:513] P9078_AxisSetBacklash[1-2], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:514] P9078_AxisSetMaxVelocity[1-2], vel: 50.000000, rc: 0
[2025-11-26 14:18:26:515] P9078_AxisSetMaxAcceleration[1-2], acc: 200.000000, rc: 0
[2025-11-26 14:18:26:516] P9078_AxisSetParameter[1-2] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:517] P9078_AxisSetMinPositionLimit[1-2], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:518] P9078_AxisSetMaxPositionLimit[1-2], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:540] P9078_AxisSetParameter[1-3] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:541] P9078_AxisSetRealParameter[1-3] PN: 1206, PV: 10000.000000, rc: 0
[2025-11-26 14:18:26:542] P9078_AxisSetRealParameter[1-3] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:543] P9078_AxisSetRealParameter[1-3] PN: 1003, PV: 0.000000, rc: 0
