[2025-11-26 14:18:26:226] P9078_AxisSetParameter[0-0] PN: 1202, PV: 1, rc: 0
[2025-11-26 23:39:10:172] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:10:187] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:10:203] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:10:219] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:10:315] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:10:330] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:10:347] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:39:10:347] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:10:362] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:39:10:378] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:39:10:378] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:39:10:379] P9078_TrajLinearMoveEx[1] end: 8.879962, 14.340700, 10.310500, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:39:10:380] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:10:380] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:39:10:381] P9078_TrajLinearMoveEx[1] end: 8.879962, 14.340700, 10.250500, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:39:10:382] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:11:652] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:11:669] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:11:684] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:11:699] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:11:845] P9078_AxisAbsJog[1-5], pos: 10.236600, vel: 3.000000, rc: 0
[2025-11-26 23:39:11:846] P9078_AxisAbsJog[1-3], pos: 8.856400, vel: 3.000000, rc: 0
[2025-11-26 23:39:11:847] P9078_AxisAbsJog[1-4], pos: 14.392200, vel: 3.000000, rc: 0
[2025-11-26 23:39:12:35] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:12:51] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:12:67] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:39:12:67] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:12:83] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:39:12:99] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:39:12:99] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:39:12:100] P9078_TrajLinearMoveEx[1] end: 8.850000, 14.340700, 10.280461, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:39:12:101] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:12:101] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:39:12:102] P9078_TrajLinearMoveEx[1] end: 8.910000, 14.340700, 10.280461, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:39:12:103] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:14:736] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:14:753] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:14:768] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:14:784] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:14:880] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:14:895] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:14:912] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:39:14:913] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:14:928] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:39:14:943] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:39:14:944] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:39:14:944] P9078_TrajLinearMoveEx[1] end: 8.910000, 14.340700, 10.280461, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:39:14:946] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:14:946] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:39:14:947] P9078_TrajLinearMoveEx[1] end: 8.850000, 14.340700, 10.280461, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:39:14:948] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:16:232] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:16:248] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:16:265] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:16:280] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:16:425] P9078_AxisAbsJog[1-5], pos: 10.236600, vel: 3.000000, rc: 0
[2025-11-26 23:39:16:426] P9078_AxisAbsJog[1-3], pos: 8.856400, vel: 3.000000, rc: 0
[2025-11-26 23:39:16:427] P9078_AxisAbsJog[1-4], pos: 14.392200, vel: 3.000000, rc: 0
[2025-11-26 23:39:16:615] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:16:631] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:16:648] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:39:16:648] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:16:664] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:39:16:679] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:39:16:680] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:39:16:681] P9078_TrajLinearMoveEx[1] end: 8.879936, 14.340700, 10.250500, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:39:16:682] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:16:682] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:39:16:683] P9078_TrajLinearMoveEx[1] end: 8.879936, 14.340700, 10.310500, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:39:16:684] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:19:134] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:19:149] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:19:166] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:19:181] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:19:276] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:19:292] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:19:309] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:39:19:309] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:19:325] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:39:19:340] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:39:19:341] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:39:19:341] P9078_TrajLinearMoveEx[1] end: 8.879936, 14.340700, 10.310500, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:39:19:343] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:19:343] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:39:19:344] P9078_TrajLinearMoveEx[1] end: 8.879936, 14.340700, 10.250500, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:39:19:345] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:39:20:631] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:20:646] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:20:662] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:39:20:678] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:39:21:61] P9078_AxisAbsJog[1-5], pos: 10.280500, vel: 3.000000, rc: 0
[2025-11-26 23:39:21:62] P9078_AxisAbsJog[1-3], pos: 8.880100, vel: 3.000000, rc: 0
[2025-11-26 23:39:21:63] P9078_AxisAbsJog[1-4], pos: 14.340400, vel: 3.000000, rc: 0
[2025-11-26 23:39:22:856] P9078_AxisAbsJog[1-3], pos: 8.880300, vel: 1.000000, rc: 0
[2025-11-26 23:39:23:669] P9078_AxisAbsJog[1-3], pos: 8.880100, vel: 1.000000, rc: 0
[2025-11-26 23:39:24:478] P9078_AxisAbsJog[1-3], pos: 8.879900, vel: 1.000000, rc: 0
[2025-11-26 23:39:25:291] P9078_AxisAbsJog[1-3], pos: 8.879700, vel: 1.000000, rc: 0
[2025-11-26 23:39:26:101] P9078_AxisAbsJog[1-3], pos: 8.879500, vel: 1.000000, rc: 0
[2025-11-26 23:39:26:915] P9078_AxisAbsJog[1-3], pos: 8.879700, vel: 1.000000, rc: 0
[2025-11-26 23:39:27:722] P9078_AxisAbsJog[1-5], pos: 10.280700, vel: 1.000000, rc: 0
[2025-11-26 23:39:28:535] P9078_AxisAbsJog[1-5], pos: 10.280900, vel: 1.000000, rc: 0
[2025-11-26 23:39:29:347] P9078_AxisAbsJog[1-5], pos: 10.281100, vel: 1.000000, rc: 0
[2025-11-26 23:39:30:158] P9078_AxisAbsJog[1-5], pos: 10.281300, vel: 1.000000, rc: 0
[2025-11-26 23:39:30:971] P9078_AxisAbsJog[1-5], pos: 10.281100, vel: 1.000000, rc: 0
[2025-11-26 23:39:31:781] P9078_AxisAbsJog[1-4], pos: 14.340600, vel: 1.000000, rc: 0
[2025-11-26 23:39:32:596] P9078_AxisAbsJog[1-4], pos: 14.340400, vel: 1.000000, rc: 0
[2025-11-26 23:39:33:404] P9078_AxisAbsJog[1-4], pos: 14.340200, vel: 1.000000, rc: 0
[2025-11-26 23:39:34:216] P9078_AxisAbsJog[1-4], pos: 14.340000, vel: 1.000000, rc: 0
[2025-11-26 23:39:35:30] P9078_AxisAbsJog[1-4], pos: 14.339800, vel: 1.000000, rc: 0
[2025-11-26 23:39:35:841] P9078_AxisAbsJog[1-4], pos: 14.339600, vel: 1.000000, rc: 0
[2025-11-26 23:39:36:653] P9078_AxisAbsJog[1-4], pos: 14.339400, vel: 1.000000, rc: 0
[2025-11-26 23:39:37:462] P9078_AxisAbsJog[1-4], pos: 14.339200, vel: 1.000000, rc: 0
[2025-11-26 23:39:38:274] P9078_AxisAbsJog[1-4], pos: 14.339000, vel: 1.000000, rc: 0
[2025-11-26 23:39:39:87] P9078_AxisAbsJog[1-4], pos: 14.338800, vel: 1.000000, rc: 0
[2025-11-26 23:39:39:896] P9078_AxisAbsJog[1-4], pos: 14.338600, vel: 1.000000, rc: 0
[2025-11-26 23:39:40:708] P9078_AxisAbsJog[1-4], pos: 14.338400, vel: 1.000000, rc: 0
[2025-11-26 23:39:41:517] P9078_AxisAbsJog[1-4], pos: 14.338200, vel: 1.000000, rc: 0
[2025-11-26 23:39:42:329] P9078_AxisAbsJog[1-4], pos: 14.338000, vel: 1.000000, rc: 0
[2025-11-26 23:39:43:144] P9078_AxisAbsJog[1-4], pos: 14.337800, vel: 1.000000, rc: 0
[2025-11-26 23:39:43:953] P9078_AxisAbsJog[1-4], pos: 14.337600, vel: 1.000000, rc: 0
[2025-11-26 23:39:44:766] P9078_AxisAbsJog[1-4], pos: 14.337400, vel: 1.000000, rc: 0
[2025-11-26 23:39:45:575] P9078_AxisAbsJog[1-4], pos: 14.337200, vel: 1.000000, rc: 0
[2025-11-26 23:39:46:387] P9078_AxisAbsJog[1-4], pos: 14.337000, vel: 1.000000, rc: 0
[2025-11-26 23:39:47:201] P9078_AxisAbsJog[1-4], pos: 14.336800, vel: 1.000000, rc: 0
[2025-11-26 23:39:48:13] P9078_AxisAbsJog[1-4], pos: 14.336600, vel: 1.000000, rc: 0
[2025-11-26 23:39:48:824] P9078_AxisAbsJog[1-4], pos: 14.336400, vel: 1.000000, rc: 0
[2025-11-26 23:39:49:634] P9078_AxisAbsJog[1-4], pos: 14.336200, vel: 1.000000, rc: 0
[2025-11-26 23:39:50:445] P9078_AxisAbsJog[1-4], pos: 14.336000, vel: 1.000000, rc: 0
[2025-11-26 23:39:51:255] P9078_AxisAbsJog[1-4], pos: 14.335800, vel: 1.000000, rc: 0
[2025-11-26 23:39:52:67] P9078_AxisAbsJog[1-4], pos: 14.335600, vel: 1.000000, rc: 0
[2025-11-26 23:39:52:880] P9078_AxisAbsJog[1-4], pos: 14.335400, vel: 1.000000, rc: 0
[2025-11-26 23:39:53:691] P9078_AxisAbsJog[1-4], pos: 14.335600, vel: 1.000000, rc: 0
[2025-11-26 23:39:54:504] P9078_AxisAbsJog[1-3], pos: 8.879900, vel: 1.000000, rc: 0
[2025-11-26 23:39:55:317] P9078_AxisAbsJog[1-3], pos: 8.880100, vel: 1.000000, rc: 0
[2025-11-26 23:39:56:127] P9078_AxisAbsJog[1-3], pos: 8.880300, vel: 1.000000, rc: 0
[2025-11-26 23:39:56:939] P9078_AxisAbsJog[1-3], pos: 8.880500, vel: 1.000000, rc: 0
[2025-11-26 23:39:57:749] P9078_AxisAbsJog[1-3], pos: 8.880700, vel: 1.000000, rc: 0
[2025-11-26 23:39:58:562] P9078_AxisAbsJog[1-3], pos: 8.880900, vel: 1.000000, rc: 0
[2025-11-26 23:39:59:373] P9078_AxisAbsJog[1-3], pos: 8.881100, vel: 1.000000, rc: 0
[2025-11-26 23:40:0:180] P9078_AxisAbsJog[1-3], pos: 8.880900, vel: 1.000000, rc: 0
[2025-11-26 23:40:0:990] P9078_AxisAbsJog[1-5], pos: 10.281300, vel: 1.000000, rc: 0
[2025-11-26 23:40:1:797] P9078_AxisAbsJog[1-5], pos: 10.281500, vel: 1.000000, rc: 0
[2025-11-26 23:40:2:608] P9078_AxisAbsJog[1-5], pos: 10.281700, vel: 1.000000, rc: 0
[2025-11-26 23:40:3:416] P9078_AxisAbsJog[1-5], pos: 10.281900, vel: 1.000000, rc: 0
[2025-11-26 23:40:4:227] P9078_AxisAbsJog[1-5], pos: 10.282100, vel: 1.000000, rc: 0
[2025-11-26 23:40:5:37] P9078_AxisAbsJog[1-5], pos: 10.282300, vel: 1.000000, rc: 0
[2025-11-26 23:40:5:851] P9078_AxisAbsJog[1-5], pos: 10.282100, vel: 1.000000, rc: 0
[2025-11-26 23:40:6:661] P9078_AxisAbsJog[1-4], pos: 14.335800, vel: 1.000000, rc: 0
[2025-11-26 23:40:7:473] P9078_AxisAbsJog[1-4], pos: 14.335600, vel: 1.000000, rc: 0
[2025-11-26 23:40:8:283] P9078_AxisAbsJog[1-4], pos: 14.335400, vel: 1.000000, rc: 0
[2025-11-26 23:40:9:96] P9078_AxisAbsJog[1-4], pos: 14.335200, vel: 1.000000, rc: 0
[2025-11-26 23:40:9:909] P9078_AxisAbsJog[1-4], pos: 14.335000, vel: 1.000000, rc: 0
[2025-11-26 23:40:10:720] P9078_AxisAbsJog[1-4], pos: 14.334800, vel: 1.000000, rc: 0
[2025-11-26 23:40:11:528] P9078_AxisAbsJog[1-4], pos: 14.334600, vel: 1.000000, rc: 0
[2025-11-26 23:40:12:340] P9078_AxisAbsJog[1-4], pos: 14.334400, vel: 1.000000, rc: 0
[2025-11-26 23:40:13:153] P9078_AxisAbsJog[1-4], pos: 14.334200, vel: 1.000000, rc: 0
[2025-11-26 23:40:13:963] P9078_AxisAbsJog[1-4], pos: 14.334000, vel: 1.000000, rc: 0
[2025-11-26 23:40:14:777] P9078_AxisAbsJog[1-4], pos: 14.333800, vel: 1.000000, rc: 0
[2025-11-26 23:40:15:587] P9078_AxisAbsJog[1-4], pos: 14.333600, vel: 1.000000, rc: 0
[2025-11-26 23:40:16:399] P9078_AxisAbsJog[1-4], pos: 14.333400, vel: 1.000000, rc: 0
[2025-11-26 23:40:17:212] P9078_AxisAbsJog[1-4], pos: 14.333200, vel: 1.000000, rc: 0
[2025-11-26 23:40:18:51] P9078_AxisAbsJog[1-4], pos: 14.333000, vel: 1.000000, rc: 0
[2025-11-26 23:40:18:871] P9078_AxisAbsJog[1-4], pos: 14.332800, vel: 1.000000, rc: 0
[2025-11-26 23:40:19:682] P9078_AxisAbsJog[1-4], pos: 14.332600, vel: 1.000000, rc: 0
[2025-11-26 23:40:20:496] P9078_AxisAbsJog[1-4], pos: 14.332400, vel: 1.000000, rc: 0
[2025-11-26 23:40:21:308] P9078_AxisAbsJog[1-4], pos: 14.332200, vel: 1.000000, rc: 0
[2025-11-26 23:40:22:117] P9078_AxisAbsJog[1-4], pos: 14.332400, vel: 1.000000, rc: 0
[2025-11-26 23:40:22:533] P9078_AxisAbsJog[1-4], pos: 14.330400, vel: 1.000000, rc: 0
[2025-11-26 23:40:23:369] P9078_AxisAbsJog[1-3], pos: 8.881100, vel: 1.000000, rc: 0
[2025-11-26 23:40:24:182] P9078_AxisAbsJog[1-3], pos: 8.881300, vel: 1.000000, rc: 0
[2025-11-26 23:40:24:994] P9078_AxisAbsJog[1-3], pos: 8.881500, vel: 1.000000, rc: 0
[2025-11-26 23:40:25:805] P9078_AxisAbsJog[1-3], pos: 8.881700, vel: 1.000000, rc: 0
[2025-11-26 23:40:26:617] P9078_AxisAbsJog[1-3], pos: 8.881900, vel: 1.000000, rc: 0
[2025-11-26 23:40:27:428] P9078_AxisAbsJog[1-3], pos: 8.882100, vel: 1.000000, rc: 0
[2025-11-26 23:40:28:238] P9078_AxisAbsJog[1-3], pos: 8.882300, vel: 1.000000, rc: 0
[2025-11-26 23:40:29:50] P9078_AxisAbsJog[1-3], pos: 8.882100, vel: 1.000000, rc: 0
[2025-11-26 23:40:29:863] P9078_AxisAbsJog[1-5], pos: 10.282300, vel: 1.000000, rc: 0
[2025-11-26 23:40:30:677] P9078_AxisAbsJog[1-5], pos: 10.282500, vel: 1.000000, rc: 0
[2025-11-26 23:40:31:491] P9078_AxisAbsJog[1-5], pos: 10.282700, vel: 1.000000, rc: 0
[2025-11-26 23:40:32:301] P9078_AxisAbsJog[1-5], pos: 10.282500, vel: 1.000000, rc: 0
[2025-11-26 23:40:33:112] P9078_AxisAbsJog[1-3], pos: 8.882300, vel: 1.000000, rc: 0
[2025-11-26 23:40:33:922] P9078_AxisAbsJog[1-3], pos: 8.882100, vel: 1.000000, rc: 0
[2025-11-26 23:40:34:733] P9078_AxisAbsJog[1-3], pos: 8.881900, vel: 1.000000, rc: 0
[2025-11-26 23:40:35:544] P9078_AxisAbsJog[1-3], pos: 8.881700, vel: 1.000000, rc: 0
[2025-11-26 23:40:36:358] P9078_AxisAbsJog[1-3], pos: 8.881500, vel: 1.000000, rc: 0
[2025-11-26 23:40:37:171] P9078_AxisAbsJog[1-3], pos: 8.881300, vel: 1.000000, rc: 0
[2025-11-26 23:40:37:982] P9078_AxisAbsJog[1-3], pos: 8.881100, vel: 1.000000, rc: 0
[2025-11-26 23:40:38:806] P9078_AxisAbsJog[1-3], pos: 8.881300, vel: 1.000000, rc: 0
[2025-11-26 23:40:39:615] P9078_AxisAbsJog[1-5], pos: 10.282700, vel: 1.000000, rc: 0
[2025-11-26 23:40:40:430] P9078_AxisAbsJog[1-5], pos: 10.282500, vel: 1.000000, rc: 0
[2025-11-26 23:40:41:240] P9078_AxisAbsJog[1-5], pos: 10.282300, vel: 1.000000, rc: 0
[2025-11-26 23:40:42:55] P9078_AxisAbsJog[1-5], pos: 10.282100, vel: 1.000000, rc: 0
[2025-11-26 23:40:42:866] P9078_AxisAbsJog[1-5], pos: 10.281900, vel: 1.000000, rc: 0
[2025-11-26 23:40:43:679] P9078_AxisAbsJog[1-5], pos: 10.281700, vel: 1.000000, rc: 0
[2025-11-26 23:40:44:487] P9078_AxisAbsJog[1-5], pos: 10.281900, vel: 1.000000, rc: 0
[2025-11-26 23:40:45:578] P9078_AxisAbsJog[1-4], pos: 14.332400, vel: 3.000000, rc: 0
[2025-11-26 23:43:49:17] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:49:33] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:49:49] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:43:49:49] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:49:65] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:43:49:82] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:43:49:82] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:43:49:83] P9078_TrajLinearMoveEx[1] end: 8.881300, 14.332400, 10.281900, 0.000000, 0.000000, 0.000000, vel: 2.000000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:43:49:84] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:43:49:84] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:43:49:85] P9078_TrajLinearMoveEx[1] end: 8.876300, 14.332400, 10.281900, 0.000000, 0.000000, 0.000000, vel: 2.000000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:43:49:85] P9078_TrajSetMotionId[1] id: 3, rc: 0
[2025-11-26 23:43:49:86] P9078_TrajCircularMoveEx[1] end: 8.681300, 14.332400, 10.281900, 0.000000, 0.000000, 0.000000, center: 8.881300, 14.332400, 10.281900, normal: 0.000000, 1.000000, 0.000000, turn: 39, vel: 2.000000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:43:49:114] P9078_TrajAbort[1], rc: 0
[2025-11-26 23:43:49:115] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:49:128] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:49:144] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:49:160] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:49:216] P9078_AxisAbsJog[1-5], pos: 10.271900, vel: 3.000000, rc: 0
[2025-11-26 23:43:49:222] P9078_AxisAbsJog[1-3], pos: 8.870500, vel: 3.000000, rc: 0
[2025-11-26 23:43:49:383] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:49:399] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:49:415] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:43:49:415] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:49:430] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:43:49:446] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:43:49:446] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:43:49:447] P9078_TrajLinearMoveEx[1] end: 8.850465, 14.332400, 10.281900, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:43:49:448] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:43:49:448] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:43:49:449] P9078_TrajLinearMoveEx[1] end: 8.910465, 14.332400, 10.281900, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:43:49:450] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:43:51:178] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:51:193] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:51:209] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:51:225] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:51:320] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:51:336] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:51:353] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:43:51:353] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:51:368] P9078_TrajCombineAxesEx[1] 3 , rc: 0
[2025-11-26 23:43:51:383] P9078_AxisSetParameter[1-3] PN: 1200, PV: 1, rc: 0
[2025-11-26 23:43:51:383] P9078_TrajSetMotionId[1] id: 1, rc: 0
[2025-11-26 23:43:51:384] P9078_TrajLinearMoveEx[1] end: 8.910465, 14.332400, 10.281900, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 0, rc: 0
[2025-11-26 23:43:51:385] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:43:51:385] P9078_TrajSetMotionId[1] id: 2, rc: 0
[2025-11-26 23:43:51:386] P9078_TrajLinearMoveEx[1] end: 8.850465, 14.332400, 10.281900, 0.000000, 0.000000, 0.000000, vel: 0.050000, acc: 80.000000, type: 1, rc: 0
[2025-11-26 23:43:51:387] P9078_TrajDelay[1], delay: 0.010000 sec, rc: 0
[2025-11-26 23:43:52:670] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:52:686] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:52:703] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:52:718] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:52:775] P9078_AxisAbsJog[1-5], pos: 10.271900, vel: 3.000000, rc: 0
[2025-11-26 23:43:52:776] P9078_AxisAbsJog[1-3], pos: 8.870500, vel: 3.000000, rc: 0
[2025-11-26 23:43:52:954] P9078_AxisSetParameter[1-3] PN: 1200, PV: 0, rc: 0
[2025-11-26 23:43:52:970] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:52:987] P9078_TrajEnable[1], rc: 0
[2025-11-26 23:43:52:988] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 23:43:53:3] P9078_TrajCombineAxesEx[1] 3 , rc: 0
